ResponseID,IPadd,start,end,duration,compare,bonmor_1,bonmor_2,moral1,shallo1,superf1,compet1,status1,appear1,ineq1,keepup1,fitmor_1,fitmor_2,moral2,shallo2,superf2,compet2,status2,appear2,ineq2,keepup2,houmor_1,houmor_2,moral3,shallo3,superf3,compet3,status3,appear3,ineq3,keepup3,carmor_1,carmor_2,moral4,shallo4,superf4,compet4,status4,appear4,ineq4,keepup4,commor_1,commor_2,moral5,shallo5,superf5,compet5,status5,appear5,ineq5,keepup5,gpamor_1,gpamor_2,moral6,shallo6,superf6,compet6,status6,appear6,ineq6,keepup6,moral,shallo,superf,shal_sup,compet,status,appear,ineq,keepup,filltm ,MIS_I1,MIS_I2,MIS_I3r,MIS_I4r,MIS_I5,MIS_S1,MIS_S2,MIS_S3,MIS_S4,MIS_S5,MIS,MIS_I,MIS_S,compet_1,compet_2,compet_3,compet_4,tr_comp,SCO_1,SCO_2,SCO_3,SCO_4,SCO_5r,SCO_6,SCO_7,SCO_8,SCO_9,SCO_10,SCO_11r,SCO,attn,PIgen,PIsoc,PIfor,PIecon,PIavg,mturkid,age,gender,open,Latitude,Longitude
R_1qgL0RZiM6A7bxQ,71.33.173.236,10/16/2018 13:24,10/16/2018 13:27,2.866666666,1,5,4,4.5,5,4,4,5,5,4,4,3,5,4,6,6,3,5,4,3,4,5,4,4.5,3,3,5,4,6,5,4,5,5,5,4,4,6,5,5,4,3,3,5,4,6,4,4,5,5,4,4,3,5,4,6,6,6,4,5,4,4,4.333333333,5,4.5,4.75,4.666666667,4.666666667,5,4,3.833333333,77.183,4,2,3,2,3,2,3,4,2,4,2.9,2.8,3,3,3,3,4,3.25,6,3,3,5,4,4,6,5,3,7,5,4.636363636,0,4,3,4,4,3.666666667,A16SAB417Y96G4,31,1,,39.91340637,-105.0074997
R_1gA5CTggXOuZD6T,104.173.43.96,10/16/2018 13:24,10/16/2018 13:28,3.933333331,1,4,5,4.5,5,4,5,7,7,4,5,4,3,3.5,5,4,5,6,7,4,3,3,4,3.5,6,4,5,5,6,5,4,5,3,4,5,4,5,5,7,5,4,4,3,3.5,6,4,6,5,4,4,5,3,4,3.5,4,5,5,4,6,5,4,3.75,5.166666667,4.166666667,4.666666667,5.166666667,5.333333333,6.166666667,4.5,4.166666667,77.219,2,3,4,2,2,4,2,4,4,3,3,2.6,3.4,4,3,3,2,3,3,5,4,5,4,2,4,3,3,3,4,3.636363636,0,4,4,4,4,4,A37CO0N1KC1CDW,25,2,,33.64250183,-116.8356018
R_3qx7mvwIKvTyaZj,75.184.112.42,10/16/2018 13:24,10/16/2018 13:28,4.066666674,-1,6,4,5,1,1,7,5,6,2,5,6,5,5.5,4,6,5,6,6,2,6,6,5,5.5,4,4,5,6,5,2,6,6,6,6,4,4,4,6,6,2,6,6,5,5.5,4,5,4,6,6,2,6,7,5,6,3,3,7,3,3,2,4,5.583333333,3.333333333,3.833333333,3.583333333,5.333333333,5.333333333,5.333333333,2,5.5,77.007,5,4,5,4,5,2,2,2,2,2,3.3,4.6,2,3,4,4,3,3.5,6,5,6,6,6,7,5,5,5,4,6,5.545454545,0,1,1,1,2,1.333333333,A3J69A05IG1HRF,31,2,,44.05990601,-88.52780151
R_BVasEBGBfBAo8h3,108.65.124.61,10/16/2018 13:25,10/16/2018 13:28,3.633333334,-1,5,6,5.5,4,3,5,3,4,3,4,7,5,6,3,1,4,3,5,3,5,6,4,5,5,3,5,4,4,2,5,5,4,4.5,5,6,4,5,7,2,5,6,5,5.5,4,3,5,3,4,2,4,6,4,5,3,1,4,1,3,2,3,5.25,4,2.833333333,3.416666667,4.5,3.166666667,4.5,2.333333333,4.333333333,77.047,4,3,2,1,4,2,3,2,3,3,2.7,2.8,2.6,3,3,4,2,3,3,4,5,5,4,6,2,2,3,2,4,3.636363636,0,3,2,2,3,2.333333333,A1WKF2VH7TV0H2,22,2,,28.45219421,-81.46779633
R_3rMpJddLUuT38Oo,198.96.95.146,10/16/2018 13:25,10/16/2018 13:28,3.783333327,1,6,7,6.5,7,8,6,7,8,6,6,6,7,6.5,6,7,8,7,7,7,6,6,7,6.5,6,7,8,6,7,7,6,7,6,6.5,6,7,8,6,7,6,7,6,7,6.5,6,7,8,6,7,7,6,6,6,6,8,6,7,8,6,6,6,6.416666667,6.5,7,6.75,7.5,6.666666667,7,6.5,6.166666667,78.156,4,5,1,2,5,4,4,3,3,3,3.4,3.4,3.4,4,5,5,4,4.5,5,6,7,5,2,5,6,7,6,5,2,5.090909091,0,6,7,5,6,6,A36338VUSZ21XJ,35,1,i like they survey,32.81520081,-96.87030029
R_1oBTyYHG7xV9EsR,71.45.116.226,10/16/2018 13:24,10/16/2018 13:29,4.966666665,-1,7,6,6.5,6,5,5,4,5,4,5,6,5,5.5,6,6,5,4,5,4,5,6,5,5.5,3,4,5,5,5,4,5,5,5,5,3,4,5,6,6,5,5,5,4,4.5,4,5,6,6,6,4,5,5,6,5.5,5,6,5,5,5,4,5,5.416666667,4.5,5,4.75,5.166666667,5,5.333333333,4.166666667,5,77.202,3,3,3,3,3,2,3,4,4,3,3.1,3,3.2,3,3,2,4,3,4,3,3,4,3,4,3,5,4,3,5,3.727272727,0,5,4,4,4,4,A3PTO0DMF57GDG,58,2,,33.58869934,-86.76499939
R_2aXYxg9NE34HHlT,68.46.231.43,10/16/2018 13:24,10/16/2018 13:29,4.383333331,-1,4,3,3.5,6,5,6,3,5,4,4,3,5,4,6,5,5,7,5,4,5,3,2,2.5,8,6,7,7,6,5,5,3,3,3,5,6,5,4,5,5,5,4,4,4,6,4,5,3,7,3,3,3,5,4,5,5,4,5,4,4,2,3.5,6,5.166666667,5.583333333,5.333333333,4.833333333,5.333333333,4.166666667,4,78.762,3,3,3,2,3,4,3,3,3,4,3.1,2.8,3.4,3,4,3,3,3.25,3,3,3,4,5,3,3,4,2,4,3,3.363636364,0,3,3,4,4,3.666666667,A7KLTVEIASF4J,27,1,0,31.26170349,-85.41419983
R_ClVqvAaW2KHyUFP,69.202.200.46,10/16/2018 13:25,10/16/2018 13:29,3.91666666,1,5,4,4.5,5,6,6,4,5,5,4,5,5,5,5,6,5,6,6,5,4,4,3,3.5,5,6,4,5,6,5,4,4,5,4.5,5,6,6,4,5,5,4,4,3,3.5,5,6,4,5,5,5,4,4,5,4.5,4,5,6,5,5,4,5,4.25,4.833333333,5.833333333,5.333333333,5.166666667,4.833333333,5.333333333,4.833333333,4.166666667,77.012,3,4,2,4,4,2,3,4,3,3,3.2,3.4,3,2,3,3,4,3,5,4,3,5,3,3,4,4,4,3,5,3.909090909,0,4,5,3,3,3.666666667,A2M9S5A7VA1PVR,29,1,,40.72549438,-73.99829865
R_2YzhCV7YTIuKoBJ,170.115.248.22,10/16/2018 13:24,10/16/2018 13:29,4.433333332,-1,4,4,4,5,4,8,6,6,3,7,4,4,4,5,4,7,7,8,3,7,4,4,4,4,4,7,8,6,2,7,4,4,4,5,5,8,8,8,5,5,4,4,4,4,4,7,6,6,3,6,4,4,4,3,3,8,6,6,2,7,4,4.333333333,4,4.166666667,7.5,6.833333333,6.666666667,3,6.5,77.019,5,4,5,4,4,3,3,2,3,4,3.7,4.4,3,4,5,4,5,4.5,4,6,6,6,6,6,7,7,7,7,7,6.272727273,0,5,6,4,3,4.333333333,A3GAQNTZ1V1VO,28,1,,40.03379822,-75.17310333
R_2eXV7mJQSGQmzBX,103.58.116.82,10/16/2018 13:25,10/16/2018 13:29,4.066666664,1,6,7,6.5,7,7,8,7,6,6,7,6,7,6.5,6,7,8,7,6,6,7,7,6,6.5,7,8,7,8,7,6,7,7,6,6.5,7,8,7,6,7,6,7,7,6,6.5,6,7,8,7,6,6,7,6,7,6.5,6,7,8,7,6,6,7,6.5,6.5,7.333333333,6.916666667,7.666666667,7,6.333333333,6,7,77.069,5,4,1,2,5,4,5,4,5,4,3.9,3.4,4.4,4,4,5,5,4.5,6,5,6,6,2,7,7,6,5,7,2,5.363636364,1,6,7,6,7,6.666666667,A7KSIGZNUVAWP,56,2,good survey,10.3500061,77.95001221
R_3qD44c4ZWHyAWRn,97.124.101.53,10/16/2018 13:24,10/16/2018 13:29,4.866666662,1,5,4,4.5,6,5,6,7,5,3,4,4,5,4.5,5,6,6,7,5,5,4,5,2,3.5,5,6,6,6,6,4,5,6,3,4.5,5,4,4,5,5,4,5,2,4,3,5,6,6,7,7,5,4,2,4,3,4,5,5,4,6,5,4,3.833333333,5,5.333333333,5.166666667,5.5,6,5.666666667,4.333333333,4.333333333,78.222,4,4,4,4,2,3,4,3,3,4,3.5,3.6,3.4,4,2,4,3,3.25,3,5,4,3,4,5,3,4,3,3,3,3.636363636,0,5,3,2,4,3,APF1EAZT104LQ,28,1,none,33.32330322,-111.8244019
R_2CrhAYdQ44hBExJ,159.39.62.209,10/16/2018 13:24,10/16/2018 13:29,5.116666668,-1,4,4,4,7,8,7,7,8,5,6,4,4,4,6,6,5,6,8,5,6,4,4,4,8,8,8,8,8,7,7,4,4,4,8,7,5,8,8,5,7,4,4,4,6,6,5,6,7,4,5,4,4,4,6,7,8,7,7,4,7,4,6.833333333,7,6.916666667,6.333333333,7,7.666666667,5,6.333333333,77.086,4,1,3,2,3,2,1,1,2,2,2.1,2.6,1.6,5,5,5,5,5,1,7,7,7,7,7,6,5,6,5,7,5.909090909,0,4,1,3,6,3.333333333,A1FYMTQ3YSEOQ9,27,1,,30.44850159,-91.12999725
R_BVAVAIP3sRoFNmN,172.245.123.238,10/16/2018 13:25,10/16/2018 13:29,4.116666665,1,6,5,5.5,6,7,5,7,6,7,5,7,5,6,5,7,6,7,8,5,5,6,5,5.5,6,7,8,6,7,4,6,6,5,5.5,6,7,5,7,5,6,4,5,6,5.5,5,7,6,7,8,5,6,5,6,5.5,6,7,8,5,7,5,5,5.583333333,5.666666667,7,6.333333333,6.333333333,6.5,6.833333333,5.333333333,5.166666667,77.008,4,3,3,2,4,5,3,5,5,3,3.7,3.2,4.2,3,5,4,4,4,2,6,4,5,2,6,4,4,5,6,1,4.090909091,1,5,6,6,5,5.666666667,AWOMPCHI7VPY8,28,2,well,42.26260376,-71.8022995
R_2flpvS2xqz8oPRE,98.176.238.152,10/16/2018 13:26,10/16/2018 13:29,3.516666661,-1,1,1,1,8,8,8,8,8,7,7,1,1,1,8,8,8,8,8,7,7,1,1,1,8,8,8,8,8,7,7,1,1,1,8,8,8,8,8,7,7,1,1,1,8,8,8,8,8,7,7,1,1,1,8,8,8,8,8,7,7,1,8,8,8,8,8,8,7,7,78.605,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,A39Q4SNT7SRK94,28,1,,32.63710022,-117.0675964
R_1DvfjySFYjJNaHo,72.184.249.113,10/16/2018 13:25,10/16/2018 13:29,4.516666664,1,5,5,5,4,6,7,6,6,3,5,2,5,3.5,7,8,7,7,8,6,6,4,6,5,7,7,7,5,6,5,7,6,5,5.5,6,5,6,6,6,4,5,6,6,6,4,3,4,4,4,4,3,4,5,4.5,3,4,7,3,4,4,4,4.916666667,5.166666667,5.5,5.333333333,6.333333333,5.166666667,5.666666667,4.333333333,5,77.177,4,4,2,4,5,4,4,4,5,4,4,3.8,4.2,3,4,4,4,3.75,5,5,5,5,5,6,5,5,6,6,3,5.090909091,0,6,6,6,5,5.666666667,A3MQFX3IN9WSIA,25,2,,28.02839661,-82.77940369
